交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2018/10/26,TXO,201810W5,8800.0000,買權,600,605,600,605,2,675,1,655,675,605,600,,一般,
2018/10/26,TXO,201810W5,8800.0000,賣權,6.4,27,6.4,14,17120,14,5599,13.5,14,27,6.4,,一般,
2018/10/26,TXO,201810W5,8900.0000,買權,505,505,505,505,10,575,10,560,580,505,505,,一般,
2018/10/26,TXO,201810W5,8900.0000,賣權,10,34.5,10,17.5,8444,17.5,2844,18,19.5,34.5,10,,一般,
2018/10/26,TXO,201810W5,9000.0000,買權,459,495,459,495,12,484,57,468,480,720,459,,一般,
2018/10/26,TXO,201810W5,9000.0000,買權,575,645,575,645,15,-,-,535,1440,720,525,,盤後,
2018/10/26,TXO,201810W5,9000.0000,賣權,14.5,45,14,24.5,24558,24.5,16843,24.5,25,67,4,,一般,
2018/10/26,TXO,201810W5,9000.0000,賣權,23.5,29.5,9,12,12449,-,-,11.5,12.5,67,4,,盤後,
2018/10/26,TXO,201810W5,9100.0000,買權,484,484,351,393,53,393,47,378,389,620,351,,一般,
2018/10/26,TXO,201810W5,9100.0000,買權,478,545,478,545,12,-,-,452,1300,620,439,,盤後,
2018/10/26,TXO,201810W5,9100.0000,賣權,20.5,59,19.5,34,14056,34,7308,33.5,34,78,6,,一般,
2018/10/26,TXO,201810W5,9100.0000,賣權,32,38,11,16,8234,-,-,15.5,16,78,6,,盤後,
2018/10/26,TXO,201810W5,9200.0000,買權,399,424,256,301,118,301,96,291,301,505,256,,一般,
2018/10/26,TXO,201810W5,9200.0000,買權,391,428,391,428,29,-,-,242,985,505,340,,盤後,
2018/10/26,TXO,201810W5,9200.0000,賣權,29,78,27,46.5,26396,46.5,6915,46,48,100,2,,一般,
2018/10/26,TXO,201810W5,9200.0000,賣權,41,50,18,24.5,10343,-,-,24.5,26.5,100,2,,盤後,
2018/10/26,TXO,201810W5,9250.0000,買權,336,336,220,251,28,258,19,249,258,336,220,,一般,
2018/10/26,TXO,201810W5,9250.0000,賣權,33,90,33,56,8046,56,1172,55,56,90,33,,一般,
2018/10/26,TXO,201810W5,9300.0000,買權,310,314,176,220,582,220,267,211,220,441,176,,一般,
2018/10/26,TXO,201810W5,9300.0000,買權,286,378,286,334,112,-,-,305,390,441,203,,盤後,
2018/10/26,TXO,201810W5,9300.0000,賣權,39.5,105,39,65,25533,65,5497,64,66,115,13,,一般,
2018/10/26,TXO,201810W5,9300.0000,賣權,58,67,25,35,12257,-,-,34.5,37,115,13,,盤後,
2018/10/26,TXO,201810W5,9350.0000,買權,274,280,145,175,485,181,189,175,181,280,145,,一般,
2018/10/26,TXO,201810W5,9350.0000,賣權,53,122,47.5,79,14597,79,2271,78,81,122,47.5,,一般,
2018/10/26,TXO,201810W5,9400.0000,買權,226,252,114,143,5498,143,1970,142,143,423,114,,一般,
2018/10/26,TXO,201810W5,9400.0000,買權,210,290,132,243,746,-,-,243,266,423,132,,盤後,
2018/10/26,TXO,201810W5,9400.0000,賣權,57,142,55,95,27220,95,8349,94,95,145,19.5,,一般,
2018/10/26,TXO,201810W5,9400.0000,賣權,82,89,36.5,57,12249,-,-,53,58,145,19.5,,盤後,
2018/10/26,TXO,201810W5,9450.0000,買權,191,214,87,111,7166,112,1653,110,112,214,87,,一般,
2018/10/26,TXO,201810W5,9450.0000,賣權,73,166,66,113,13753,113,1253,113,114,166,66,,一般,
2018/10/26,TXO,201810W5,9500.0000,買權,164,179,64,83,17036,83,4204,82,85,339,64,,一般,
2018/10/26,TXO,201810W5,9500.0000,買權,143,209,140,191,2320,-,-,177,207,339,122,,盤後,
2018/10/26,TXO,201810W5,9500.0000,賣權,90,193,79,136,16834,135,3698,135,137,193,29,,一般,
2018/10/26,TXO,201810W5,9500.0000,賣權,108,119,53,80,9877,-,-,74,78,182,29,,盤後,
2018/10/26,TXO,201810W5,9550.0000,買權,120,146,46,61,24295,61,6391,60,61,290,46,,一般,
2018/10/26,TXO,201810W5,9550.0000,買權,113,169,111,145,3995,-,-,143,168,290,95,,盤後,
2018/10/26,TXO,201810W5,9550.0000,賣權,100,224,95,162,8718,162,3144,162,166,224,36.5,,一般,
2018/10/26,TXO,201810W5,9550.0000,賣權,130,138,65,97,4021,-,-,92,97,208,36.5,,盤後,
2018/10/26,TXO,201810W5,9600.0000,買權,103,116,31,42.5,28843,42.5,6788,42,43,256,31,,一般,
2018/10/26,TXO,201810W5,9600.0000,買權,87,134,85,120,7490,-,-,115,120,256,71,,盤後,
2018/10/26,TXO,201810W5,9600.0000,賣權,130,259,115,195,5946,190,3037,190,195,259,20,,一般,
2018/10/26,TXO,201810W5,9600.0000,賣權,154,163,77,111,3758,-,-,110,116,231,20,,盤後,
2018/10/26,TXO,201810W5,9650.0000,買權,77,88,20.5,27.5,27551,27.5,5857,27,28,218,20.5,,一般,
2018/10/26,TXO,201810W5,9650.0000,買權,66,101,64,86,8740,-,-,85,90,218,52,,盤後,
2018/10/26,TXO,201810W5,9650.0000,賣權,149,300,138,232,2893,224,2006,224,233,300,54,,一般,
2018/10/26,TXO,201810W5,9650.0000,賣權,185,191,90,141,2072,-,-,141,142,272,54,,盤後,
2018/10/26,TXO,201810W5,9700.0000,買權,56,65,12.5,17,30341,17,8454,17,17.5,183,12.5,,一般,
2018/10/26,TXO,201810W5,9700.0000,買權,47,75,46,65,8581,-,-,64,66,183,35.5,,盤後,
2018/10/26,TXO,201810W5,9700.0000,賣權,186,340,164,273,2182,264,2267,264,272,340,21,,一般,
2018/10/26,TXO,201810W5,9700.0000,賣權,218,223,117,158,1048,-,-,152,172,297,21,,盤後,
2018/10/26,TXO,201810W5,9750.0000,買權,35.5,46.5,7.5,10.5,25952,10.5,10818,10,10.5,149,7.5,,一般,
2018/10/26,TXO,201810W5,9750.0000,買權,32.5,56,32,46,7653,-,-,46.5,47,149,24,,盤後,
2018/10/26,TXO,201810W5,9750.0000,賣權,229,373,198,303,718,303,1819,305,316,373,75,,一般,
2018/10/26,TXO,201810W5,9750.0000,賣權,248,257,142,170,419,-,-,170,201,335,75,,盤後,
2018/10/26,TXO,201810W5,9800.0000,買權,25,31,4.7,6.6,26062,6.6,13769,6.2,6.6,118,4.7,,一般,
2018/10/26,TXO,201810W5,9800.0000,買權,22,37.5,21,33.5,10351,-,-,33.5,34,118,15,,盤後,
2018/10/26,TXO,201810W5,9800.0000,賣權,253,422,234,348,418,348,1646,350,362,422,56,,一般,
2018/10/26,TXO,201810W5,9800.0000,賣權,298,298,161,220,194,-,-,209,278,388,56,,盤後,
2018/10/26,TXO,201810W5,9850.0000,買權,17.5,20,2.8,4.1,16781,4.1,12626,4.1,4.4,92,2.8,,一般,
2018/10/26,TXO,201810W5,9850.0000,買權,14.5,24,14,22.5,8593,-,-,22.5,23,92,9.5,,盤後,
2018/10/26,TXO,201810W5,9850.0000,賣權,304,474,297,399,45,394,708,399,410,474,74,,一般,
2018/10/26,TXO,201810W5,9850.0000,賣權,310,325,253,253,34,-,-,211,295,417,74,,盤後,
2018/10/26,TXO,201810W5,9900.0000,買權,11.5,12,1.9,2.8,12203,2.8,13977,2.8,2.9,68,1.9,,一般,
2018/10/26,TXO,201810W5,9900.0000,買權,8.9,16,8.9,14,9258,-,-,14,15.5,68,5.6,,盤後,
2018/10/26,TXO,201810W5,9900.0000,賣權,350,520,339,453,177,443,228,446,459,520,151,,一般,
2018/10/26,TXO,201810W5,9900.0000,賣權,350,368,258,300,95,-,-,182,379,455,151,,盤後,
2018/10/26,TXO,201810W5,9950.0000,買權,5.9,6.9,1.3,2,8122,2,6796,1.9,2.1,48,1.3,,一般,
2018/10/26,TXO,201810W5,9950.0000,買權,5,9.7,5,8.1,2525,-,-,8.1,8.4,48,3.6,,盤後,
2018/10/26,TXO,201810W5,9950.0000,賣權,381,540,381,495,30,492,48,494,510,540,197,,一般,
2018/10/26,TXO,201810W5,9950.0000,賣權,425,425,350,350,5,-,-,183,500,500,197,,盤後,
2018/10/26,TXO,201810W5,10000.0000,買權,4,4,0.9,1.5,7709,1.5,8311,1.3,1.6,33,0.9,,一般,
2018/10/26,TXO,201810W5,10000.0000,買權,4,5.9,3,5.5,1505,-,-,4.5,5.5,33,1.8,,盤後,
2018/10/26,TXO,201810W5,10000.0000,賣權,600,600,530,530,11,540,132,545,560,600,222,,一般,
2018/10/26,TXO,201810W5,10000.0000,賣權,460,460,428,428,2,-,-,218,600,600,222,,盤後,
2018/10/26,TXO,201810W5,10050.0000,買權,2.5,2.5,0.8,1.2,7102,1.2,8241,1.1,1.2,21.5,0.8,,一般,
2018/10/26,TXO,201810W5,10050.0000,買權,2.9,4.5,2.7,3.4,786,-,-,3.4,4,21.5,1.7,,盤後,
2018/10/26,TXO,201810W5,10050.0000,賣權,-,-,-,-,0,590,55,-,-,-,-,,一般,
2018/10/26,TXO,201810W5,10050.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201810W5,10100.0000,買權,1.4,1.4,0.7,0.9,2342,0.9,5355,0.8,1.1,13.5,0.7,,一般,
2018/10/26,TXO,201810W5,10100.0000,買權,2.1,2.7,1.7,2.1,548,-,-,2,2.3,13.5,0.9,,盤後,
2018/10/26,TXO,201810W5,10100.0000,賣權,-,-,-,-,0,640,51,-,-,-,-,,一般,
2018/10/26,TXO,201810W5,10100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201810W5,10200.0000,買權,1,1,0.5,0.5,1314,0.5,5788,0.4,0.7,5.4,0.5,,一般,
2018/10/26,TXO,201810W5,10200.0000,買權,1.3,1.4,1,1.1,242,-,-,1,1.2,5.4,0.8,,盤後,
2018/10/26,TXO,201810W5,10200.0000,賣權,-,-,-,-,0,740,30,-,-,-,-,,一般,
2018/10/26,TXO,201810W5,10200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201810W5,10300.0000,買權,0.3,0.6,0.3,0.3,1414,0.3,2914,0.2,0.5,2.5,0.2,,一般,
2018/10/26,TXO,201810W5,10300.0000,買權,0.6,0.7,0.2,0.2,82,-,-,0.6,0.8,2.5,0.2,,盤後,
2018/10/26,TXO,201810W5,10300.0000,賣權,-,-,-,-,0,840,6,-,-,-,-,,一般,
2018/10/26,TXO,201810W5,10300.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201810W5,10400.0000,買權,0.4,0.4,0.2,0.2,1001,0.2,2435,0.2,0.4,1.5,0.2,,一般,
2018/10/26,TXO,201810W5,10400.0000,買權,0.3,0.5,0.3,0.5,141,-,-,0.3,0.6,1.5,0.3,,盤後,
2018/10/26,TXO,201810W5,10400.0000,賣權,-,-,-,-,0,940,6,-,-,-,-,,一般,
2018/10/26,TXO,201810W5,10400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201810W5,10500.0000,買權,0.4,0.4,0.1,0.1,396,0.1,1176,0.1,0.2,1.2,0.1,,一般,
2018/10/26,TXO,201810W5,10500.0000,買權,0.3,0.3,0.3,0.3,3,-,-,0.2,0.3,1.2,0.2,,盤後,
2018/10/26,TXO,201810W5,10500.0000,賣權,-,-,-,-,0,1040,2,-,-,-,-,,一般,
2018/10/26,TXO,201810W5,10500.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,8000.0000,買權,-,-,-,-,0,1450,0,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,8000.0000,賣權,12.5,32,12.5,23,3942,23,2984,23,23.5,32,12.5,,一般,
2018/10/26,TXO,201811  ,8100.0000,買權,-,-,-,-,0,1350,0,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,8100.0000,賣權,9,38,9,28,615,28,410,26.5,30,38,9,,一般,
2018/10/26,TXO,201811  ,8200.0000,買權,1320,1320,1200,1290,23,1260,20,1200,1300,1320,1200,,一般,
2018/10/26,TXO,201811  ,8200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,8200.0000,賣權,20.5,44.5,20.5,32.5,2772,32.5,3076,29,32.5,46,16,,一般,
2018/10/26,TXO,201811  ,8200.0000,賣權,26,26,16,17,647,-,-,16.5,17.5,46,16,,盤後,
2018/10/26,TXO,201811  ,8300.0000,買權,1150,1150,1140,1140,3,1160,33,1150,1170,1690,1140,,一般,
2018/10/26,TXO,201811  ,8300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,8300.0000,賣權,22.5,52,22.5,38,4591,38,9289,37.5,38,53,10,,一般,
2018/10/26,TXO,201811  ,8300.0000,賣權,29,30,20,20,551,-,-,20,22,53,10,,盤後,
2018/10/26,TXO,201811  ,8400.0000,買權,1120,1140,1020,1090,32,1070,6,1020,1090,1500,1020,,一般,
2018/10/26,TXO,201811  ,8400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,8400.0000,賣權,27.5,60,27.5,45,1154,45,4396,43.5,45,63,12,,一般,
2018/10/26,TXO,201811  ,8400.0000,賣權,35.5,37,24,26,429,-,-,24.5,27.5,63,12,,盤後,
2018/10/26,TXO,201811  ,8500.0000,買權,-,-,-,-,0,975,3,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,8500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,8500.0000,賣權,33.5,69,33.5,53,2248,53,4718,52,53,80,13.5,,一般,
2018/10/26,TXO,201811  ,8500.0000,賣權,43,44.5,29,30,538,-,-,26.5,30,80,13.5,,盤後,
2018/10/26,TXO,201811  ,8600.0000,買權,935,945,880,880,14,880,334,830,890,1360,880,,一般,
2018/10/26,TXO,201811  ,8600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,8600.0000,賣權,40,81,40,61,2197,61,3683,60,62,88,16,,一般,
2018/10/26,TXO,201811  ,8600.0000,賣權,52,52,31,31.5,489,-,-,32,33.5,88,16,,盤後,
2018/10/26,TXO,201811  ,8700.0000,買權,-,-,-,-,0,795,11,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,8700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,8700.0000,賣權,50,92,50,72,2057,72,5161,71,72,102,18.5,,一般,
2018/10/26,TXO,201811  ,8700.0000,賣權,61,61,36.5,36.5,1648,-,-,37,45,102,18.5,,盤後,
2018/10/26,TXO,201811  ,8800.0000,買權,670,670,660,660,2,710,256,655,710,1230,660,,一般,
2018/10/26,TXO,201811  ,8800.0000,買權,795,830,790,830,17,-,-,800,1700,1230,745,,盤後,
2018/10/26,TXO,201811  ,8800.0000,賣權,60,107,60,85,3777,85,11479,82,85,128,13,,一般,
2018/10/26,TXO,201811  ,8800.0000,賣權,71,72,43,49,1172,-,-,47,48.5,128,13,,盤後,
2018/10/26,TXO,201811  ,8900.0000,買權,575,635,575,635,13,620,77,610,630,1080,575,,一般,
2018/10/26,TXO,201811  ,8900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,8900.0000,賣權,69,124,69,97,4389,97,4575,96,99,143,15,,一般,
2018/10/26,TXO,201811  ,8900.0000,賣權,85,86,56,56,704,-,-,56,67,143,15,,盤後,
2018/10/26,TXO,201811  ,9000.0000,買權,620,625,505,545,281,545,342,530,540,1440,505,,一般,
2018/10/26,TXO,201811  ,9000.0000,買權,625,650,625,650,16,-,-,130,-,1440,575,,盤後,
2018/10/26,TXO,201811  ,9000.0000,賣權,83,145,83,115,7092,115,10040,114,116,156,5,,一般,
2018/10/26,TXO,201811  ,9000.0000,賣權,100,102,66,71,2835,-,-,71,73,156,5,,盤後,
2018/10/26,TXO,201811  ,9100.0000,買權,520,520,430,465,188,465,321,453,464,1960,166,,一般,
2018/10/26,TXO,201811  ,9100.0000,買權,545,555,545,555,6,-,-,130,-,1960,166,,盤後,
2018/10/26,TXO,201811  ,9100.0000,賣權,100,169,99,136,4261,136,6426,134,139,169,6,,一般,
2018/10/26,TXO,201811  ,9100.0000,賣權,119,119,80,87,1881,-,-,86,87,166,6,,盤後,
2018/10/26,TXO,201811  ,9200.0000,買權,467,467,345,394,262,383,586,381,388,870,345,,一般,
2018/10/26,TXO,201811  ,9200.0000,買權,460,477,448,477,12,-,-,430,-,870,416,,盤後,
2018/10/26,TXO,201811  ,9200.0000,賣權,119,200,118,159,4990,159,7027,160,165,200,6.8,,一般,
2018/10/26,TXO,201811  ,9200.0000,賣權,138,142,92,94,1276,-,-,96,101,200,6.8,,盤後,
2018/10/26,TXO,201811  ,9300.0000,買權,385,396,281,318,475,318,795,309,318,800,281,,一般,
2018/10/26,TXO,201811  ,9300.0000,買權,370,421,367,421,56,-,-,371,500,800,341,,盤後,
2018/10/26,TXO,201811  ,9300.0000,賣權,144,236,143,192,5240,192,8274,190,195,236,7.7,,一般,
2018/10/26,TXO,201811  ,9300.0000,賣權,167,170,110,127,955,-,-,120,128,230,7.7,,盤後,
2018/10/26,TXO,201811  ,9400.0000,買權,318,336,220,251,1434,251,2092,248,255,670,220,,一般,
2018/10/26,TXO,201811  ,9400.0000,買權,301,356,299,350,127,-,-,310,400,670,271,,盤後,
2018/10/26,TXO,201811  ,9400.0000,賣權,173,278,170,228,5038,228,7010,226,233,350,8.6,,一般,
2018/10/26,TXO,201811  ,9400.0000,賣權,196,201,143,158,1104,-,-,150,169,350,8.6,,盤後,
2018/10/26,TXO,201811  ,9500.0000,買權,254,273,166,193,4555,193,3536,191,196,625,166,,一般,
2018/10/26,TXO,201811  ,9500.0000,買權,239,286,238,262,368,-,-,260,317,625,192,,盤後,
2018/10/26,TXO,201811  ,9500.0000,賣權,207,324,202,272,4424,272,8719,268,273,324,9.9,,一般,
2018/10/26,TXO,201811  ,9500.0000,賣權,235,238,168,194,2059,-,-,183,193,300,9.9,,盤後,
2018/10/26,TXO,201811  ,9600.0000,買權,201,212,123,145,10000,145,5026,144,145,1430,123,,一般,
2018/10/26,TXO,201811  ,9600.0000,買權,183,230,182,183,1085,-,-,183,205,1430,157,,盤後,
2018/10/26,TXO,201811  ,9600.0000,賣權,249,380,241,319,2928,319,6662,319,323,1040,11,,一般,
2018/10/26,TXO,201811  ,9600.0000,賣權,279,283,192,230,665,-,-,191,255,1040,11,,盤後,
2018/10/26,TXO,201811  ,9700.0000,買權,149,160,86,102,7095,102,5461,102,103,1300,86,,一般,
2018/10/26,TXO,201811  ,9700.0000,買權,136,179,134,153,1153,-,-,150,162,1300,115,,盤後,
2018/10/26,TXO,201811  ,9700.0000,賣權,299,440,288,371,2412,378,7007,377,386,440,12.5,,一般,
2018/10/26,TXO,201811  ,9700.0000,賣權,332,335,244,245,540,-,-,245,310,425,12.5,,盤後,
2018/10/26,TXO,201811  ,9800.0000,買權,103,114,58,70,9555,70,10124,70,71,432,58,,一般,
2018/10/26,TXO,201811  ,9800.0000,買權,95,127,94,106,2039,-,-,106,111,432,80,,盤後,
2018/10/26,TXO,201811  ,9800.0000,賣權,364,515,346,445,1081,445,7415,444,455,515,12.5,,一般,
2018/10/26,TXO,201811  ,9800.0000,賣權,392,392,294,330,505,-,-,290,333,490,12.5,,盤後,
2018/10/26,TXO,201811  ,9900.0000,買權,75,77,36,46,12798,46,10631,46,47,1150,36,,一般,
2018/10/26,TXO,201811  ,9900.0000,買權,61,88,61,88,2197,-,-,73,87,1150,54,,盤後,
2018/10/26,TXO,201811  ,9900.0000,賣權,433,595,408,520,364,520,4767,520,570,595,16.5,,一般,
2018/10/26,TXO,201811  ,9900.0000,賣權,461,461,390,401,176,-,-,230,450,555,16.5,,盤後,
2018/10/26,TXO,201811  ,10000.0000,買權,50,50,22.5,29,12517,29,16943,29,30,995,22.5,,一般,
2018/10/26,TXO,201811  ,10000.0000,買權,42,61,40,50,2535,-,-,49.5,54,995,33.5,,盤後,
2018/10/26,TXO,201811  ,10000.0000,賣權,505,685,497,595,185,605,3277,555,650,685,18.5,,一般,
2018/10/26,TXO,201811  ,10000.0000,賣權,510,520,435,435,41,-,-,440,500,635,18.5,,盤後,
2018/10/26,TXO,201811  ,10100.0000,買權,30,31,14,18.5,8860,18.5,12336,18.5,19,855,14,,一般,
2018/10/26,TXO,201811  ,10100.0000,買權,25.5,35,25,31,1800,-,-,31,32.5,855,20,,盤後,
2018/10/26,TXO,201811  ,10100.0000,賣權,595,765,585,680,133,695,1927,690,725,765,22,,一般,
2018/10/26,TXO,201811  ,10100.0000,賣權,595,600,560,560,29,-,-,500,595,710,22,,盤後,
2018/10/26,TXO,201811  ,10200.0000,買權,18,19,9.1,12.5,7238,12.5,14392,12,12.5,775,9.1,,一般,
2018/10/26,TXO,201811  ,10200.0000,買權,15,22,15,19.5,1765,-,-,19.5,21,775,12.5,,盤後,
2018/10/26,TXO,201811  ,10200.0000,賣權,720,855,690,765,53,790,1530,745,845,855,27,,一般,
2018/10/26,TXO,201811  ,10200.0000,賣權,685,685,610,610,3,-,-,530,1420,785,27,,盤後,
2018/10/26,TXO,201811  ,10300.0000,買權,13,13,5.7,8.1,7200,8.1,13837,8,8.2,710,5.7,,一般,
2018/10/26,TXO,201811  ,10300.0000,買權,11,14.5,10,13,936,-,-,12,13,710,8,,盤後,
2018/10/26,TXO,201811  ,10300.0000,賣權,790,940,790,870,68,885,3461,870,890,940,32,,一般,
2018/10/26,TXO,201811  ,10300.0000,賣權,780,790,780,790,4,-,-,510,785,900,32,,盤後,
2018/10/26,TXO,201811  ,10400.0000,買權,8.7,8.7,4.1,6.2,3120,6.2,12181,5.3,6.2,640,4.1,,一般,
2018/10/26,TXO,201811  ,10400.0000,買權,7.2,10.5,7,10,846,-,-,9.2,10,640,5,,盤後,
2018/10/26,TXO,201811  ,10400.0000,賣權,865,1030,865,960,48,980,1868,810,1000,1030,40,,一般,
2018/10/26,TXO,201811  ,10400.0000,賣權,875,890,870,890,4,-,-,750,1660,960,40,,盤後,
2018/10/26,TXO,201811  ,10500.0000,買權,5.4,5.5,3.4,5,2420,5,12269,4.8,5,570,3.4,,一般,
2018/10/26,TXO,201811  ,10500.0000,買權,5.6,7.5,5.1,7.2,426,-,-,7,7.2,570,4.3,,盤後,
2018/10/26,TXO,201811  ,10500.0000,賣權,970,1150,970,1110,19,1080,5191,1030,1130,1280,49.5,,一般,
2018/10/26,TXO,201811  ,10500.0000,賣權,975,990,950,950,10,-,-,705,1500,1280,49.5,,盤後,
2018/10/26,TXO,201811  ,10600.0000,買權,4.8,4.8,3,3.7,1501,3.7,9591,3.3,4.1,510,3,,一般,
2018/10/26,TXO,201811  ,10600.0000,買權,4.3,5.5,4.1,4.8,335,-,-,4.6,6.2,510,3.5,,盤後,
2018/10/26,TXO,201811  ,10600.0000,賣權,1080,1230,1080,1160,5,1180,1523,1130,1190,1230,65,,一般,
