交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2018/10/26,TXO,201811  ,10600.0000,賣權,1090,1090,1000,1000,6,-,-,815,-,1150,65,,盤後,
2018/10/26,TXO,201811  ,10700.0000,買權,3.4,3.5,2.5,3.3,852,3.3,5790,2.8,3.6,440,2.5,,一般,
2018/10/26,TXO,201811  ,10700.0000,買權,3.9,4.7,3.9,4,50,-,-,4.1,6.7,440,3,,盤後,
2018/10/26,TXO,201811  ,10700.0000,賣權,1170,1330,1170,1310,4,1280,1321,1260,1330,1330,84,,一般,
2018/10/26,TXO,201811  ,10700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,10800.0000,買權,2.6,3.2,2.1,2.6,4150,2.6,13672,2.6,2.7,421,2.1,,一般,
2018/10/26,TXO,201811  ,10800.0000,買權,3.6,4.4,2.3,4.2,329,-,-,3,4.2,421,2.3,,盤後,
2018/10/26,TXO,201811  ,10800.0000,賣權,1260,1430,1260,1410,24,1380,1629,1330,1430,1430,109,,一般,
2018/10/26,TXO,201811  ,10800.0000,賣權,1220,1220,1220,1220,1,-,-,1020,2000,1320,109,,盤後,
2018/10/26,TXO,201811  ,10900.0000,買權,2.4,2.8,2,2.6,158,2.6,4996,2.3,2.5,295,2,,一般,
2018/10/26,TXO,201811  ,10900.0000,買權,3,3.1,2.8,2.8,12,-,-,2.5,3.3,295,2.4,,盤後,
2018/10/26,TXO,201811  ,10900.0000,賣權,-,-,-,-,0,1480,272,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,10900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11000.0000,買權,2.2,2.5,1.9,2,493,2,6158,2,2.1,283,1.9,,一般,
2018/10/26,TXO,201811  ,11000.0000,買權,2.9,3.5,2.7,3.3,20,-,-,1.6,3.1,283,1.9,,盤後,
2018/10/26,TXO,201811  ,11000.0000,賣權,-,-,-,-,0,1580,190,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,11000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11100.0000,買權,1.9,2.3,1.9,2,329,2,2608,1.8,2,227,1.8,,一般,
2018/10/26,TXO,201811  ,11100.0000,買權,2.7,3.2,2.4,3.1,9,-,-,1,2.9,227,1.8,,盤後,
2018/10/26,TXO,201811  ,11100.0000,賣權,1670,1750,1670,1680,34,1680,110,1660,1710,1750,214,,一般,
2018/10/26,TXO,201811  ,11100.0000,賣權,1580,1580,1580,1580,5,-,-,1100,-,1580,214,,盤後,
2018/10/26,TXO,201811  ,11200.0000,買權,2,2.2,1.7,1.9,502,1.9,3443,0.1,1.9,250,1.6,,一般,
2018/10/26,TXO,201811  ,11200.0000,買權,1.7,1.7,1.6,1.6,2,-,-,2,3.1,250,1.6,,盤後,
2018/10/26,TXO,201811  ,11200.0000,賣權,-,-,-,-,0,1780,60,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,11200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11300.0000,買權,1.7,2,1.7,1.7,135,1.7,3898,1,1.8,141,1.5,,一般,
2018/10/26,TXO,201811  ,11300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11300.0000,賣權,-,-,-,-,0,1880,61,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,11300.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11400.0000,買權,1.4,1.6,1.3,1.4,177,1.4,2937,1.1,1.6,100,0.4,,一般,
2018/10/26,TXO,201811  ,11400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11400.0000,賣權,-,-,-,-,0,1980,66,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,11400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11500.0000,買權,1.2,1.3,1,1,114,1,1856,0.1,2,73,1,,一般,
2018/10/26,TXO,201811  ,11500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11500.0000,賣權,-,-,-,-,0,2080,38,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,11500.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11600.0000,買權,1,1.1,1,1.1,53,0.9,2219,0.1,1.1,52,1,,一般,
2018/10/26,TXO,201811  ,11600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11600.0000,賣權,-,-,-,-,0,2180,0,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,11600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11700.0000,買權,0.9,0.9,0.9,0.9,11,0.9,2346,0.1,1,37,0.9,,一般,
2018/10/26,TXO,201811  ,11700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11700.0000,賣權,-,-,-,-,0,2280,1,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,11700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11800.0000,買權,0.8,0.8,0.8,0.8,11,0.8,1968,0.1,1.4,24,0.8,,一般,
2018/10/26,TXO,201811  ,11800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11800.0000,賣權,-,-,-,-,0,2380,4,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,11800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11900.0000,買權,0.7,0.7,0.7,0.7,3,0.7,762,0.1,1.3,15.5,0.7,,一般,
2018/10/26,TXO,201811  ,11900.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,11900.0000,賣權,-,-,-,-,0,2480,3,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,11900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,12000.0000,買權,0.6,0.7,0.6,0.7,9,0.7,1668,-,1.2,12,0.1,,一般,
2018/10/26,TXO,201811  ,12000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,12000.0000,賣權,-,-,-,-,0,2580,1,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,12000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,12100.0000,買權,-,-,-,-,0,0.6,907,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,12100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,12100.0000,賣權,-,-,-,-,0,2680,1,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,12100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,12200.0000,買權,-,-,-,-,0,0.5,356,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,12200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,12200.0000,賣權,-,-,-,-,0,2780,0,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,12200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,12300.0000,買權,0.4,0.4,0.4,0.4,1,0.4,525,0.1,0.6,3.5,0.4,,一般,
2018/10/26,TXO,201811  ,12300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,12300.0000,賣權,-,-,-,-,0,2880,0,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,12300.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,12400.0000,買權,0.3,0.3,0.3,0.3,2,0.3,242,0.1,0.5,3.9,0.3,,一般,
2018/10/26,TXO,201811  ,12400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,12400.0000,賣權,-,-,-,-,0,2980,3,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,12400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,12500.0000,買權,0.3,0.3,0.3,0.3,9,0.3,89,0.1,0.4,2.1,0.3,,一般,
2018/10/26,TXO,201811  ,12500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,12500.0000,賣權,-,-,-,-,0,3080,0,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,12500.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,12600.0000,買權,0.2,0.3,0.2,0.3,2,0.3,587,0.1,0.3,2,0.1,,一般,
2018/10/26,TXO,201811  ,12600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,12600.0000,賣權,-,-,-,-,0,3180,0,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,12600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,12700.0000,買權,0.2,0.2,0.2,0.2,12,0.2,593,0.1,0.2,3.1,0.2,,一般,
2018/10/26,TXO,201811  ,12700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,12700.0000,賣權,-,-,-,-,0,3270,0,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,12700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201811  ,12800.0000,買權,0.2,0.3,0.1,0.2,15,0.2,617,0.1,0.2,200,0.1,,一般,
2018/10/26,TXO,201811  ,12800.0000,買權,0.3,0.3,0.3,0.3,1,-,-,0.1,0.3,200,0.2,,盤後,
2018/10/26,TXO,201811  ,12800.0000,賣權,-,-,-,-,0,3370,0,-,-,-,-,,一般,
2018/10/26,TXO,201811  ,12800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,8000.0000,買權,-,-,-,-,0,1460,0,-,-,-,-,,一般,
2018/10/26,TXO,201812  ,8000.0000,賣權,36,62,36,55,2202,55,2064,50,57,62,36,,一般,
2018/10/26,TXO,201812  ,8100.0000,買權,-,-,-,-,0,1370,0,-,-,-,-,,一般,
2018/10/26,TXO,201812  ,8100.0000,賣權,46.5,67,46.5,61,11,61,7,46,150,67,46.5,,一般,
2018/10/26,TXO,201812  ,8200.0000,買權,-,-,-,-,0,1280,1,-,-,-,-,,一般,
2018/10/26,TXO,201812  ,8200.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,8200.0000,賣權,47,77,47,68,529,68,4013,66,70,90,5.1,,一般,
2018/10/26,TXO,201812  ,8200.0000,賣權,54,54,45.5,45.5,37,-,-,43,52,90,5.1,,盤後,
2018/10/26,TXO,201812  ,8300.0000,買權,-,-,-,-,0,1190,0,-,-,-,-,,一般,
2018/10/26,TXO,201812  ,8300.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,8300.0000,賣權,58,87,58,78,141,78,360,50,84,87,4.1,,一般,
2018/10/26,TXO,201812  ,8300.0000,賣權,60,60,52,54,3,-,-,51,62,80,4.1,,盤後,
2018/10/26,TXO,201812  ,8400.0000,買權,-,-,-,-,0,1090,0,-,-,-,-,,一般,
2018/10/26,TXO,201812  ,8400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,8400.0000,賣權,70,98,69,83,52,83,1892,86,95,120,7,,一般,
2018/10/26,TXO,201812  ,8400.0000,賣權,75,75,75,75,5,-,-,57,81,120,7,,盤後,
2018/10/26,TXO,201812  ,8500.0000,買權,-,-,-,-,0,1010,0,-,-,-,-,,一般,
2018/10/26,TXO,201812  ,8500.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,8500.0000,賣權,78,111,78,98,170,98,918,93,124,111,4.1,,一般,
2018/10/26,TXO,201812  ,8500.0000,賣權,80,80,68,68,4,-,-,58,89,100,4.1,,盤後,
2018/10/26,TXO,201812  ,8600.0000,買權,-,-,-,-,0,920,0,-,-,-,-,,一般,
2018/10/26,TXO,201812  ,8600.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,8600.0000,賣權,82,124,82,105,182,105,2661,83,115,208,8.5,,一般,
2018/10/26,TXO,201812  ,8600.0000,賣權,85,86,66,70,20,-,-,65,88,208,8.5,,盤後,
2018/10/26,TXO,201812  ,8700.0000,買權,-,-,-,-,0,835,0,-,-,-,-,,一般,
2018/10/26,TXO,201812  ,8700.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,8700.0000,賣權,102,141,100,125,480,125,2091,116,127,141,10,,一般,
2018/10/26,TXO,201812  ,8700.0000,賣權,104,110,92,94,30,-,-,76,180,130,10,,盤後,
2018/10/26,TXO,201812  ,8800.0000,買權,-,-,-,-,0,750,5,-,-,-,-,,一般,
2018/10/26,TXO,201812  ,8800.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,8800.0000,賣權,113,161,109,144,342,144,2537,120,253,224,10,,一般,
2018/10/26,TXO,201812  ,8800.0000,賣權,120,122,101,111,48,-,-,111,194,224,10,,盤後,
2018/10/26,TXO,201812  ,8900.0000,買權,625,625,625,625,1,660,2,655,685,780,625,,一般,
2018/10/26,TXO,201812  ,8900.0000,買權,780,780,780,780,1,-,-,288,-,780,780,,盤後,
2018/10/26,TXO,201812  ,8900.0000,賣權,132,185,129,149,441,149,765,130,189,185,11.5,,一般,
2018/10/26,TXO,201812  ,8900.0000,賣權,132,145,113,116,51,-,-,115,144,165,11.5,,盤後,
2018/10/26,TXO,201812  ,9000.0000,買權,665,665,665,665,1,595,24,580,605,2150,600,,一般,
2018/10/26,TXO,201812  ,9000.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,9000.0000,賣權,148,210,145,184,447,184,2503,176,191,315,7.3,,一般,
2018/10/26,TXO,201812  ,9000.0000,賣權,160,161,135,136,58,-,-,130,191,315,7.3,,盤後,
2018/10/26,TXO,201812  ,9100.0000,買權,475,505,475,497,61,515,62,515,525,670,475,,一般,
2018/10/26,TXO,201812  ,9100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,9100.0000,賣權,169,240,169,208,326,208,1373,202,217,240,18,,一般,
2018/10/26,TXO,201812  ,9100.0000,賣權,184,184,156,156,32,-,-,123,1000,214,18,,盤後,
2018/10/26,TXO,201812  ,9200.0000,買權,463,463,416,429,72,447,73,438,457,1730,416,,一般,
2018/10/26,TXO,201812  ,9200.0000,買權,530,530,530,530,1,-,-,203,-,1730,490,,盤後,
2018/10/26,TXO,201812  ,9200.0000,賣權,196,270,196,238,500,238,7461,232,247,360,15,,一般,
2018/10/26,TXO,201812  ,9200.0000,賣權,209,209,180,183,19,-,-,160,210,360,15,,盤後,
2018/10/26,TXO,201812  ,9300.0000,買權,438,438,360,399,162,384,170,379,391,755,360,,一般,
2018/10/26,TXO,201812  ,9300.0000,買權,457,457,457,457,1,-,-,380,-,755,413,,盤後,
2018/10/26,TXO,201812  ,9300.0000,賣權,226,303,222,275,363,275,855,263,283,303,17,,一般,
2018/10/26,TXO,201812  ,9300.0000,賣權,243,243,209,209,10,-,-,111,288,293,17,,盤後,
2018/10/26,TXO,201812  ,9400.0000,買權,388,388,284,331,265,316,260,318,329,840,284,,一般,
2018/10/26,TXO,201812  ,9400.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,9400.0000,賣權,257,351,257,307,224,307,1154,302,322,400,19,,一般,
2018/10/26,TXO,201812  ,9400.0000,賣權,249,258,235,235,11,-,-,146,1200,400,19,,盤後,
2018/10/26,TXO,201812  ,9500.0000,買權,330,330,238,273,87,273,85,256,272,655,238,,一般,
2018/10/26,TXO,201812  ,9500.0000,買權,325,328,321,321,5,-,-,149,400,655,289,,盤後,
2018/10/26,TXO,201812  ,9500.0000,賣權,291,401,291,352,369,364,855,353,367,401,21,,一般,
2018/10/26,TXO,201812  ,9500.0000,賣權,314,314,268,268,125,-,-,168,311,370,21,,盤後,
2018/10/26,TXO,201812  ,9600.0000,買權,266,266,188,218,157,218,199,207,218,1340,183,,一般,
2018/10/26,TXO,201812  ,9600.0000,買權,265,282,256,281,30,-,-,256,-,1340,183,,盤後,
2018/10/26,TXO,201812  ,9600.0000,賣權,340,435,340,407,62,407,1448,397,408,435,24,,一般,
2018/10/26,TXO,201812  ,9600.0000,賣權,344,350,315,315,47,-,-,250,444,401,24,,盤後,
2018/10/26,TXO,201812  ,9700.0000,買權,215,217,150,177,202,177,154,165,178,495,150,,一般,
2018/10/26,TXO,201812  ,9700.0000,買權,212,243,212,243,22,-,-,89,250,495,190,,盤後,
2018/10/26,TXO,201812  ,9700.0000,賣權,397,505,395,468,14,468,346,453,473,505,28,,一般,
2018/10/26,TXO,201812  ,9700.0000,賣權,395,400,375,375,3,-,-,211,1230,449,28,,盤後,
2018/10/26,TXO,201812  ,9800.0000,買權,167,176,114,141,169,134,309,127,141,1230,114,,一般,
2018/10/26,TXO,201812  ,9800.0000,買權,173,189,173,189,16,-,-,70,201,1230,148,,盤後,
2018/10/26,TXO,201812  ,9800.0000,賣權,441,565,431,525,46,525,1404,510,535,565,30,,一般,
2018/10/26,TXO,201812  ,9800.0000,賣權,452,452,449,449,2,-,-,244,550,530,30,,盤後,
2018/10/26,TXO,201812  ,9900.0000,買權,132,134,84,105,234,105,467,99,106,418,84,,一般,
2018/10/26,TXO,201812  ,9900.0000,買權,133,151,133,151,52,-,-,144,155,418,106,,盤後,
2018/10/26,TXO,201812  ,9900.0000,賣權,520,655,520,585,33,595,1789,580,595,655,35,,一般,
2018/10/26,TXO,201812  ,9900.0000,賣權,476,476,476,476,1,-,-,288,1330,575,35,,盤後,
2018/10/26,TXO,201812  ,10000.0000,買權,102,104,64,77,425,77,1549,73,77,1100,64,,一般,
2018/10/26,TXO,201812  ,10000.0000,買權,101,115,100,115,184,-,-,96,120,1100,86,,盤後,
2018/10/26,TXO,201812  ,10000.0000,賣權,635,720,635,650,25,665,9591,655,670,720,38.5,,一般,
2018/10/26,TXO,201812  ,10000.0000,賣權,570,570,550,550,4,-,-,338,1200,650,38.5,,盤後,
2018/10/26,TXO,201812  ,10100.0000,買權,79,80,48,58,321,58,837,50,62,510,48,,一般,
2018/10/26,TXO,201812  ,10100.0000,買權,75,84,75,79,18,-,-,78,95,510,64,,盤後,
2018/10/26,TXO,201812  ,10100.0000,賣權,795,810,770,770,7,750,586,740,800,810,45.5,,一般,
2018/10/26,TXO,201812  ,10100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,10200.0000,買權,54,58,33,42,688,42,1171,35,41,900,33,,一般,
2018/10/26,TXO,201812  ,10200.0000,買權,55,63,55,63,42,-,-,60,65,900,44.5,,盤後,
2018/10/26,TXO,201812  ,10200.0000,賣權,760,870,760,850,5,830,684,825,845,870,54,,一般,
2018/10/26,TXO,201812  ,10200.0000,賣權,720,720,720,720,1,-,-,570,1550,810,54,,盤後,
2018/10/26,TXO,201812  ,10300.0000,買權,40,42,23.5,30,391,30,697,29,33,700,23.5,,一般,
2018/10/26,TXO,201812  ,10300.0000,買權,38,45,38,45,19,-,-,40,47,700,33,,盤後,
2018/10/26,TXO,201812  ,10300.0000,賣權,935,935,935,935,2,920,358,915,975,935,65,,一般,
2018/10/26,TXO,201812  ,10300.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,10400.0000,買權,29.5,29.5,17,22.5,221,22.5,984,22,26.5,700,17,,一般,
2018/10/26,TXO,201812  ,10400.0000,買權,30,35,29.5,35,36,-,-,34,45,700,23,,盤後,
2018/10/26,TXO,201812  ,10400.0000,賣權,1000,1020,985,985,5,1010,909,1000,1030,1020,75,,一般,
2018/10/26,TXO,201812  ,10400.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,10500.0000,買權,20.5,20.5,12.5,16,195,16,2114,2.2,16.5,515,12.5,,一般,
2018/10/26,TXO,201812  ,10500.0000,買權,19,24.5,19,24,10,-,-,23,26.5,515,17,,盤後,
2018/10/26,TXO,201812  ,10500.0000,賣權,-,-,-,-,0,1110,487,-,-,-,-,,一般,
2018/10/26,TXO,201812  ,10500.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,10600.0000,買權,15,15,10,12.5,304,12.5,1433,11.5,12.5,595,10,,一般,
2018/10/26,TXO,201812  ,10600.0000,買權,14.5,28,14.5,16,36,-,-,16,26,595,13,,盤後,
2018/10/26,TXO,201812  ,10600.0000,賣權,1160,1250,1160,1250,6,1200,305,1150,1210,1250,113,,一般,
2018/10/26,TXO,201812  ,10600.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,10700.0000,買權,12,12,7.9,9.7,42,9.7,525,9.2,19,414,7.9,,一般,
2018/10/26,TXO,201812  ,10700.0000,買權,12.5,14.5,12,12,17,-,-,10,20,414,10,,盤後,
2018/10/26,TXO,201812  ,10700.0000,賣權,-,-,-,-,0,1300,256,-,-,-,-,,一般,
2018/10/26,TXO,201812  ,10700.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,10800.0000,買權,11,11,6.2,7.5,249,7.5,1014,7.5,8.9,452,6.2,,一般,
2018/10/26,TXO,201812  ,10800.0000,買權,9.1,13.5,9,11,7,-,-,10,13.5,452,8.1,,盤後,
2018/10/26,TXO,201812  ,10800.0000,賣權,1450,1450,1450,1450,3,1400,255,1360,1410,1450,100,,一般,
2018/10/26,TXO,201812  ,10800.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,10900.0000,買權,6.9,6.9,5.9,6.9,43,6.9,406,0.2,10,301,5.9,,一般,
2018/10/26,TXO,201812  ,10900.0000,買權,7.5,7.5,7.5,7.5,8,-,-,7,10,301,6,,盤後,
2018/10/26,TXO,201812  ,10900.0000,賣權,-,-,-,-,0,1500,25,-,-,-,-,,一般,
2018/10/26,TXO,201812  ,10900.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,11000.0000,買權,5.5,6,5.3,6,120,6,2037,5.3,12.5,330,0.3,,一般,
2018/10/26,TXO,201812  ,11000.0000,買權,7,7,7,7,1,-,-,4,11,330,0.3,,盤後,
2018/10/26,TXO,201812  ,11000.0000,賣權,1480,1650,1480,1580,3,1600,345,1540,1600,1650,241,,一般,
2018/10/26,TXO,201812  ,11000.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,11100.0000,買權,4.7,5.4,4.7,5.4,19,5.4,245,3.1,5.5,199,4.7,,一般,
2018/10/26,TXO,201812  ,11100.0000,買權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,11100.0000,賣權,-,-,-,-,0,1690,4,-,-,-,-,,一般,
2018/10/26,TXO,201812  ,11100.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,11200.0000,買權,4.3,4.8,4.3,4.8,2,4.8,833,1.1,18.5,765,4,,一般,
2018/10/26,TXO,201812  ,11200.0000,買權,5.3,8.2,5.3,8.2,6,-,-,0.6,10,765,4,,盤後,
2018/10/26,TXO,201812  ,11200.0000,賣權,-,-,-,-,0,1790,65,-,-,-,-,,一般,
2018/10/26,TXO,201812  ,11200.0000,賣權,-,-,-,-,0,-,-,-,-,-,-,,盤後,
2018/10/26,TXO,201812  ,11300.0000,買權,3.9,4.4,3.9,4.4,3,4.4,148,4,54,118,3.9,,一般,
